FECHA (YYMMDD);HORA (HHMM);;
140202;0200;18,3833;
140202;0300;17,85;
140202;0400;17,2917;
140202;0500;16,5417;
140202;0600;15,775;
140202;0700;15,4917;
140202;0800;18,325;
140202;0900;20,65;
140202;1000;22,7917;
140202;1100;24,8917;
140202;1200;26,7917;
140202;1300;28,0417;
140202;1400;28,5917;
140202;1500;28,95;
140202;1600;28,85;
140202;1700;28,1417;
140202;1800;26,8917;
140202;1900;25,55;
140202;2000;23,8417;
140202;2100;21,6167;
140202;2200;20,0667;
140202;2300;19,075;
140203;0000;18,5667;
140203;0100;17,8917;
140203;0200;17,225;
140203;0300;16,8583;
140203;0400;16,325;
140203;0500;15,9083;
140203;0600;15,4;
140203;0700;14,9;
140203;0800;17,2167;
140203;0900;19,075;
140203;1000;21,6667;
140203;1100;25,0333;
140203;1200;26,6417;
140203;1300;28,05;
140203;1400;29,0917;
140203;1500;30,325;
140203;1600;30,6083;
140203;1700;30,5167;
140203;1800;29,9917;
140203;1900;28,775;
140203;2000;26,375;
140203;2100;24,125;
140203;2200;22,2917;
140203;2300;21,15;
140204;0000;20,3917;
140204;0100;19,75;
140204;0200;18,975;
140204;0300;18,6083;
140204;0400;17,9333;
140204;0500;17,4917;
140204;0600;16,5917;
140204;0700;16,6833;
140204;0800;19,6833;
140204;0900;22,325;
140204;1000;24,0083;
140204;1100;25,5917;
140204;1200;26,925;
140204;1300;27,3;
140204;1400;28,5917;
140204;1500;29,625;
140204;1600;29,3167;
140204;1700;28,75;
140204;1800;27,9083;
140204;1900;26,1417;
140204;2000;23,5167;
140204;2100;21,2417;
140204;2200;19,325;
140204;2300;18,1167;
140205;0000;17,5333;
140205;0100;16,825;
140205;0200;16,4333;
140205;0300;16,0333;
140205;0400;15,4167;
140205;0500;15,075;
140205;0600;14,7167;
140205;0700;14,5917;
140205;0800;17,025;
140205;0900;19,1667;
140205;1000;21,3833;
140205;1100;23,2083;
140205;1200;25,0917;
140205;1300;27,0833;
140205;1400;28,3417;
140205;1500;28,3083;
140205;1600;29,0417;
140205;1700;28,9917;
140205;1800;27,75;
140205;1900;26,4417;
140205;2000;24,3667;
140205;2100;22,6417;
140205;2200;21,45;
140205;2300;20,5333;
140206;0000;19,625;
140206;0100;18,975;
140206;0200;18,3917;
140206;0300;17,8083;
140206;0400;17,2917;
140206;0500;16,6667;
140206;0600;16,0417;
140206;0700;15,9;
140206;0800;18,0667;
140206;0900;20,35;
140206;1000;22,9417;
140206;1100;25,4667;
140206;1200;27,625;
140206;1300;28,625;
140206;1400;29,7583;
140206;1500;30,3417;
140206;1600;30,2667;
140206;1700;29,8833;
140206;1800;28,8;
140206;1900;27,5917;
140206;2000;24,95;
140206;2100;22,9;
140206;2200;21,25;
140206;2300;20,3;
140207;0000;19,6333;
140207;0100;19,1333;
140207;0200;18,5083;
140207;0300;17,9916;
140207;0400;17,1333;
140207;0500;16,55;
140207;0600;16,0667;
140207;0700;15,7167;
140207;0800;18,6333;
140207;0900;21,5333;
140207;1000;23,725;
140207;1100;25,8583;
140207;1200;27,825;
140207;1300;29,475;
140207;1400;30,6917;
140207;1500;31,5;
140207;1600;31,225;
140207;1700;31,2916;
140207;1800;29,8917;
140207;1900;28,0083;
140207;2000;25,0417;
140207;2100;22,775;
140207;2200;21,25;
140207;2300;20,6917;
140208;0000;19,9667;
140208;0100;19,5833;
140208;0200;19,2167;
140208;0300;18,4;
140208;0400;17,2417;
140208;0500;16,1417;
140208;0600;15,725;
140208;0700;15,7417;
140208;0800;18,2417;
140208;0900;20,2167;
140208;1000;22,3;
140208;1100;25,1417;
