FECHA (YYMMDD);HORA (HHMM);;
140213;0200;16,7083;
140213;0300;16,1;
140213;0400;15,7833;
140213;0500;15,3917;
140213;0600;15,2;
140213;0700;15,1333;
140213;0800;19,3417;
140213;0900;21,8333;
140213;1000;25,675;
140213;1100;27,3667;
140213;1200;28,5417;
140213;1300;29,0417;
140213;1400;29,5333;
140213;1500;29,4;
140213;1600;27,9667;
140213;1700;26,7917;
140213;1800;25,6583;
140213;1900;23,3;
140213;2000;20,0083;
140213;2100;17,9;
140213;2200;16,35;
140213;2300;15,2333;
140214;0000;14,2083;
140214;0100;13,375;
140214;0200;12,9083;
140214;0300;13,0333;
140214;0400;13,5;
140214;0500;13,75;
140214;0600;13,95;
140214;0700;14,0333;
140214;0800;14,2417;
140214;0900;15,8333;
140214;1000;18,95;
140214;1100;20,7917;
140214;1200;21,9167;
140214;1300;22,85;
140214;1400;24,0583;
140214;1500;25,3917;
140214;1600;25,6167;
140214;1700;25,2667;
140214;1800;24,35;
140214;1900;22,5833;
140214;2000;19,4083;
140214;2100;16,95;
140214;2200;15,7083;
140214;2300;14,8583;
140215;0000;14,2833;
140215;0100;13,8917;
140215;0200;13,275;
140215;0300;12,8417;
140215;0400;12,4417;
140215;0500;12,2583;
140215;0600;12,0833;
140215;0700;12;
140215;0800;13,5833;
140215;0900;15,6;
140215;1000;17,7083;
140215;1100;19,3667;
140215;1200;21,0083;
140215;1300;22,9083;
140215;1400;24,2833;
140215;1500;22,9417;
140215;1600;21,525;
140215;1700;20,6916;
140215;1800;20,15;
140215;1900;19,425;
140215;2000;17,6583;
140215;2100;16,3333;
140215;2200;15,6;
140215;2300;15,15;
140216;0000;14,825;
140216;0100;14,625;
140216;0200;14,4167;
140216;0300;14,1917;
140216;0400;13,9583;
140216;0500;13,875;
140216;0600;13,7833;
140216;0700;13,0667;
140216;0800;14,2;
140216;0900;17,7417;
140216;1000;20,4333;
140216;1100;21,4917;
140216;1200;25,6167;
140216;1300;26,7;
140216;1400;28,7417;
140216;1500;29,5167;
140216;1600;30,0667;
140216;1700;29,825;
140216;1800;28,6167;
140216;1900;26,9583;
140216;2000;24,0667;
140216;2100;21,5167;
140216;2200;20,2;
140216;2300;19,325;
140217;0000;18,6167;
140217;0100;17,825;
140217;0200;16,9917;
140217;0300;15,8167;
140217;0400;14,9167;
140217;0500;14,3917;
140217;0600;14,15;
140217;0700;13,85;
140217;0800;18,3417;
140217;0900;20,8667;
140217;1000;23,125;
140217;1100;24,8333;
140217;1200;26,8583;
140217;1300;28,3083;
140217;1400;29,5583;
140217;1500;30,2083;
140217;1600;30,3417;
140217;1700;29,6;
140217;1800;28,675;
140217;1900;26,9583;
140217;2000;23,0083;
140217;2100;19,9667;
140217;2200;18,4583;
140217;2300;17,2833;
140218;0000;16,85;
140218;0100;15,2167;
140218;0200;13,875;
